document_id,soort,status,contact,datum,omschrijving,referentie,factuurnummer,bedrag_excl,btw_bedrag,btw_tarief,bedrag_incl,categorie,betaald_op,valuta,advies
489748454430475376,purchase_invoice,new,,2026-06-12,12-06-2026 - 18:09:03,12-06-2026 - 18:09:03,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
489748454418941038,purchase_invoice,new,,2026-06-12,12-06-2026 - 18:09:03,12-06-2026 - 18:09:03,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
489748126050027153,purchase_invoice,new,,2026-06-12,12-06-2026 - 18:03:50,12-06-2026 - 18:03:50,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
489748125852894835,purchase_invoice,new,,2026-06-12,12-06-2026 - 18:03:50,12-06-2026 - 18:03:50,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
489740952856954427,purchase_invoice,new,,2026-06-12,12-06-2026 - 16:09:49,12-06-2026 - 16:09:49,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
489740904981070905,purchase_invoice,new,,2026-06-12,12-06-2026 - 16:09:04,12-06-2026 - 16:09:04,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
489740904966390787,purchase_invoice,new,,2026-06-12,12-06-2026 - 16:09:04,12-06-2026 - 16:09:04,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
489737854516200575,purchase_invoice,new,,2026-06-12,12-06-2026 - 15:20:35,12-06-2026 - 15:20:35,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
489737408127960089,purchase_invoice,new,,2026-06-12,,,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
489736921512150157,purchase_invoice,new,,2026-06-12,2022-06-02 NL78INGB0006658345 01-01-2021 - 31-12-2021__,2022-06-02 NL78INGB0006658345 01-01-2021 - 31-12-2021__,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
489736673203062160,purchase_invoice,new,,2026-06-12,12-06-2026 - 15:01:48,12-06-2026 - 15:01:48,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
489736650388145246,purchase_invoice,new,,2026-06-12,12-06-2026 - 15:01:26,12-06-2026 - 15:01:26,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
489736573181494784,purchase_invoice,new,,2026-06-12,12-06-2026 - 15:00:12,12-06-2026 - 15:00:12,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
488874544757474649,purchase_invoice,new,,2026-06-03,01-agent-catalog,01-agent-catalog,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
488833815769253617,purchase_invoice,new,Moneybird B.V.,2026-06-02,Moneybird €39 abonnement,2026-437010,NL852924574B01,39.0,,174361139460704195,47.19,,,EUR,OK - kan waarschijnlijk verwerkt worden
480066985967748905,purchase_invoice,new,Moneybird B.V.,2026-02-25,Moneybird €39 abonnement,2026-524676,NL852924574B01,39.0,,174361139460704195,47.19,,,EUR,OK - kan waarschijnlijk verwerkt worden
490033339719223156,purchase_invoice,new,Per Sempre Toys,2026-02-03,Vintage Speelkeuken met verzending,100007758,,146.2,,174361139460704195,176.9,,,EUR,REVIEW - ontbreekt: btw/factuurnummer mogelijk ontbrekend
490033103579907542,receipt,open,Oriental Enterprise Tong Fang Amsterdam B.V.,2026-06-15,Instant Noodles en Bapao,801240132,,125.22,,174361139460704195,151.52,,,EUR,REVIEW - ontbreekt: btw/factuurnummer mogelijk ontbrekend
490032837583438946,receipt,open,Action Amsterdam,2026-06-15,Ontstopper 2x500ml,1395101-11106114,,5.93,,174361139460704195,7.18,,,EUR,REVIEW - ontbreekt: btw/factuurnummer mogelijk ontbrekend
490031828062700790,receipt,new,,2026-06-15,9e308229-81e2-4723-863b-bff3ea8ec920,9e308229-81e2-4723-863b-bff3ea8ec920,,0.0,,,0.0,,,EUR,"REVIEW - ontbreekt: contact, bedrag, btw/factuurnummer mogelijk ontbrekend"
